titular;fecha;diario
Vox no cierra la puerta a formar parte del Gobierno de Madrid con Díaz Ayuso si dan los números;https://www.elmundo.es/madrid/2021/03/29/6061b7effdddff107d8b45d8.html;El Mundo
Pablo Iglesias, ratificado por la militancia como candidato de Podemos a la Presidencia de la Comunidad de Madrid;https://www.elmundo.es/madrid/2021/03/28/606075ccfc6c83836e8b45ff.html;El Mundo
"Bal asegura que pondrá encima de la mesa las ""políticas naranjas"" si tiene que apoyar al PP tras las urnas";https://www.elmundo.es/madrid/2021/03/28/60606ee2fc6c83251c8b45c1.html;El Mundo
"Almeida: ""¿Madrileñofobia? Moncloa estigmatiza Madrid porque es la gran amenaza para Sánchez""";https://www.elmundo.es/madrid/2021/03/27/605f261221efa0eb2e8b4609.html;El Mundo
Los ex diputados de Ciudadanos Sergio Brabezo y Marta Barbán irán en la lista electoral de Ayuso;https://www.elmundo.es/madrid/2021/03/27/605f149321efa0d0598b45ef.html;El Mundo
"Iglesias justifica su candidatura en Madrid para acabar con la última ""trinchera"" que resiste al ""gobierno de coalición""";https://www.elmundo.es/madrid/2021/03/27/605f1319fc6c839a588b4679.html;El Mundo
Enrique Ruiz Escudero, el hombre templado que está detrás del hospital de Ifema, el Isabel Zendal y la gestión del Covid en Madrid;https://www.elmundo.es/elecciones/elecciones-madrid/2021/03/27/605e39fbfdddff18708b45e4.html;El Mundo
Díaz Ayuso acepta que Toni Cantó vaya de número cinco en su lista a las elecciones de la Comunidad de Madrid;https://www.elmundo.es/elecciones/elecciones-madrid/2021/03/26/605e0cecfdddffab028b4692.html;El Mundo
Ayuso premia a su consejero de Sanidad nombrándolo número dos de su lista a las elecciones de la Comunidad de Madrid;https://www.elmundo.es/elecciones/elecciones-madrid/2021/03/26/605db78dfdddff860d8b4616.html;El Mundo
"Toni Cantó: ""Yo no me he movido de mi sitio. Se ha movido Ciudadanos""";https://www.elmundo.es/elecciones/elecciones-madrid/2021/03/25/605ce460fc6c834b1e8b463f.html;El Mundo
Díaz Ayuso estudia si Toni Cantó irá en sus listas y si ocupará un puesto en su Gobierno;https://www.elmundo.es/elecciones/elecciones-madrid/2021/03/25/605ce68bfc6c83a6388b459d.html;El Mundo
Toni Cantó empieza a hacer campaña por Isabel Díaz Ayuso en Madrid aunque la candidata del PP sigue sin confirmar su fichaje;https://www.elmundo.es/elecciones/elecciones-madrid/2021/03/25/605c4a3afc6c834c2c8b45e3.html;El Mundo
El PP confirma que Toni Cantó irá en la lista de Ayuso a las elecciones a la Comunidad de Madrid como independiente;https://www.elmundo.es/elecciones/elecciones-madrid/2021/03/24/605b81b721efa0e4068b4588.html;El Mundo
Cinco años de Pablo Iglesias en el Congreso: del 'sí se puede' de 2016 al 'no se pudo' de 2021;https://www.elmundo.es/espana/2021/03/24/605b9bf221efa087438b45a8.html;El Mundo
'Caso Dina': el juez descarta citar como imputado a Pablo Iglesias antes de las elecciones del 4-M en Madrid;https://www.elmundo.es/espana/2021/03/24/605b9a0a21efa0c4148b45d5.html;El Mundo
La dirección del PP se muestra convencida de que Vox no entrará en el futuro Gobierno de Madrid;https://www.elmundo.es/espana/2021/03/24/605b2bcd21efa038028b468c.html;El Mundo
La lista de Pablo Iglesias para las primarias de Podemos en Madrid: Isa Serra, la hija de Verstrynge, el ex Jemad, un periodista musical...;https://www.elmundo.es/elecciones/elecciones-madrid/2021/03/24/605b129421efa099328b45dd.html;El Mundo
"""No hay 'efecto Edmundo Bal'; la marca Ciudadanos está destrozada""";https://www.elmundo.es/elecciones/elecciones-madrid/2021/03/24/605a5858fc6c8330538b45ad.html;El Mundo
